sequence,module,level,type,identifier,name,datatype,multiplicity,value_domain,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
170,btx,3,A,,Header Posting Status,Token,0..1,Posting_Status,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他),BT12-18,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderPostingStatus,btx,Transaction_ Header,headerPostingStatus,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerPostingStatus
171,btx,3,A,,Header Posting Status Description,String,0..1,,Free format description of the posting status,転記状態説明,転記状態の説明。,BT12-19,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderPostingStatusDescription,btx,Transaction_ Header,headerPostingStatusDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerPostingStatusDescription
172,btx,3,A,,Header Acknowledgement Date,Date Time,0..1,,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,BT12-20,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAcknowledgementDate,btx,Transaction_ Header,headerAcknowledgementDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAcknowledgementDate
173,btx,3,A,,Header Confirmation Date,Date Time,0..1,,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,BT12-21,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderConfirmationDate,btx,Transaction_ Header,headerConfirmationDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerConfirmationDate
174,btx,3,A,,Header Ship From,String,0..1,,References Organization Address Location Identifier where used. Otherwise free form.,出荷元,使用されていれば住所識別子の参照情報。または自由記述。,BT12-22,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderShipFrom,btx,Transaction_ Header,headerShipFrom,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerShipFrom
175,btx,3,A,,Header Date Shipped/Received,Date Time,0..1,,Date goods/services are shipped/received.,出荷/受領日付,物品/サービスを出荷/受領した日付。,BT12-23,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderDateShippedReceived,btx,Transaction_ Header,headerDateShippedReceived,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerDateShippedReceived
176,btx,3,A,,Header Maturity Date or Date Due,Date Time,0..1,,Due date or other maturity date.,支払期日,支払期日やその他の期日。,BT12-24,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderMaturityDateorDateDue,btx,Transaction_ Header,headerMaturityDateOrDateDue,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerMaturityDateOrDateDue
177,btx,3,A,,Header Payment Terms,String,0..1,,Discount/payment terms.,支払条件,割引/支払い条件。,BT12-25,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderPaymentTerms,btx,Transaction_ Header,headerPaymentTerms,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerPaymentTerms
178,btx,3,C,,Header_ Identifier Reference,,0..*,,"Identification for customer, vendor, or employee.",【文書CVE情報】,顧客、仕入先、従業員のための識別子。,BT12-26,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference,btx,Header_ Identifier Reference,headerIdentifierReference,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference
179,btx,4,A,PK,Identifier Code,String,0..1,,Unique ID Number associated with identifierReference,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,BT07-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierCode,btx,Header_ Identifier Reference,headerIdentifierCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierCode
180,btx,4,A,,Identifier Purpose,String,0..1,Identifier_Purpose,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,BT07-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPurpose,btx,Header_ Identifier Reference,headerIdentifierPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierPurpose
181,btx,4,A,,Identifier Active,Boolean,0..1,,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",CVE有効性,CVE識別子が有効か無効かを示すブール値。,BT07-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierActive,btx,Header_ Identifier Reference,headerIdentifierActive,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierActive
182,btx,4,A,,Identifier Organization Type,Token,0..1,Organization_Type,"Identifier Organization Type. Enumerated as: individual, organization, other.",CVE組織種別,"CVE識別子の組織種別。_x000D_
[設定値のリスト]_x000D_
(individual：個人)、(organization：組織)、(other：その他)",BT07-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierOrganizationType,btx,Header_ Identifier Reference,headerIdentifierOrganizationType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierOrganizationType
183,btx,4,A,,Identifier Organization Type Description,String,0..1,,Free format description of the identifier organization type,CVE組織種別説明,CVE識別子の組織種別の説明。,BT07-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierOrganizationTypeDescription,btx,Header_ Identifier Reference,headerIdentifierOrganizationTypeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierOrganizationTypeDescription
184,btx,4,A,,Identifier Description,String,0..1,,Textual description of identifierReference.,CVE説明,identifierReferenceの説明。,BT07-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierDescription,btx,Header_ Identifier Reference,headerIdentifierDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierDescription
185,btx,4,A,,Identifier Type,Token,0..1,Identifier_Type,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",CVE種別,実体の種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),BT07-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierType,btx,Header_ Identifier Reference,headerIdentifierType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierType
186,btx,4,A,,Identifier Category,String,0..1,,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,BT07-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierCategory,btx,Header_ Identifier Reference,headerIdentifierCategory,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:headerIdentifierCategory
187,cor,4,C,,External Authority,,0..*,,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,BT07-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority,cor,External Authority,headerIdentifierExternalAuthority,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierExternalAuthority
188,cor,5,A,PK,External Authority Code,String,0..1,,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,CO12-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityCode,cor,External Authority,headerIdentifierExternalAuthorityCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierExternalAuthority/gl-cor:headerIdentifierExternalAuthorityCode
189,cor,5,A,,External Authority Name,String,0..1,,Name of External Authority (e.g. Tax Authority),外部機関名,外部機関の名前（たとえば、税務署）,CO12-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityName,cor,External Authority,headerIdentifierExternalAuthorityName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierExternalAuthority/gl-cor:headerIdentifierExternalAuthorityName
190,cor,5,A,,External Authority Verification Date,Date Time,0..1,,Date on which the External Authority last performed a verification,外部機関認証日付,外部機関が最後に認証した日付。,CO12-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityVerificationDate,cor,External Authority,headerIdentifierExternalAuthorityVerificationDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierExternalAuthority/gl-cor:headerIdentifierExternalAuthorityVerificationDate
191,cor,4,C,,Identifier_ Phone,,0..*,,Phone number related to Identifier.,【電話番号】,CVE識別子の電話番号。,BT07-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone,cor,Identifier_ Phone,headerIdentifierPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierPhone
192,cor,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,CO01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone.cor_PhoneNumber,cor,Identifier_ Phone,headerIdentifierPhoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierPhone/gl-cor:headerIdentifierPhoneNumber
193,cor,5,A,,Phone Number Description,String,0..1,Phone_Number_Type,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",CO01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone.cor_PhoneNumberDescription,cor,Identifier_ Phone,headerIdentifierPhoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierPhone/gl-cor:headerIdentifierPhoneNumberDescription
194,cor,4,C,,Identifier_ Fax,,0..*,,Fax number class related to identifier.,【FAX番号】,CVE識別子のFAX番号の構造体。,BT07-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax,cor,Identifier_ Fax,headerIdentifierFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierFax
195,cor,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,CO03-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax.cor_FaxNumber,cor,Identifier_ Fax,headerIdentifierFaxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierFax/gl-cor:headerIdentifierFaxNumber
196,cor,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),CO03-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax.cor_FaxNumberUsage,cor,Identifier_ Fax,headerIdentifierFaxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierFax/gl-cor:headerIdentifierFaxNumberUsage
197,cor,4,C,,Identifier_ Email,,0..*,,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,BT07-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail,cor,Identifier_ Email,headerIdentifierEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierEmail
198,cor,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,CO05-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail.cor_EmailAddress,cor,Identifier_ Email,headerIdentifierEmailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierEmail/gl-cor:headerIdentifierEmailAddress
199,cor,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),CO05-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail.cor_EmailAddressUsage,cor,Identifier_ Email,headerIdentifierEmailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:headerIdentifierEmail/gl-cor:headerIdentifierEmailAddressUsage
